LineId;NormalizedAngle;EntryPointX;EntryPointY;EntryAngle;ConfidenceScore;AmbiguityProb;NeedsReview;RuleApplied
585;90;-26293.1321;185538.053;90;0.9999979734420776;0.37665361166000366;False;"EntryScorer; BaseModel"
586;90;-26293.1321;190988.053;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
587;90;-26293.1321;202148.383;90;0.9999983310699463;0.3766534924507141;False;"EntryScorer; BaseModel"
588;90;-26293.1321;207598.383;270;0.9999393224716187;0.3351668417453766;False;"EntryScorer; BaseModel"
589;90;-26293.1321;221621.6986;90;0.9992263317108154;0.33514291048049927;False;"EntryScorer; BaseModel"
590;90;-26293.1321;227071.6986;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
591;90;-26293.1321;239404.4438;90;0.9999986886978149;0.3766557276248932;False;"EntryScorer; BaseModel"
592;90;-26293.1321;244854.4438;270;0.9921956062316895;0.9556741714477539;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
593;90;-26293.1321;251150.4316;90;0.18786299228668213;0.9729243516921997;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
594;90;-24369.1351;161399.8595;270;0.9999998807907104;0.5842656493186951;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
595;90;-24369.1351;169219.9593;90;0.9999934434890747;0.37667736411094666;False;"EntryScorer; BaseModel"
596;90;-24369.1351;174669.9593;270;1.0;0.37665319442749023;False;"EntryScorer; BaseModel"
597;90;-24369.1351;185538.053;90;0.9999977350234985;0.3766544759273529;False;"EntryScorer; BaseModel"
598;90;-24369.1351;190988.053;270;1.0;0.37665319442749023;False;"EntryScorer; BaseModel"
599;90;-24369.1351;202148.383;90;0.9999980926513672;0.3766540288925171;False;"EntryScorer; BaseModel"
600;90;-24369.1351;207598.383;270;0.9999502897262573;0.3640335202217102;False;"EntryScorer; BaseModel"
601;90;-22445.1382;161399.8595;270;1.0;0.5842717289924622;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
602;90;-22445.1382;169219.9593;90;0.9999916553497314;0.3767029345035553;False;"EntryScorer; BaseModel"
603;90;-22445.1382;174669.9593;270;1.0;0.3766557276248932;False;"EntryScorer; BaseModel"
604;90;-22445.1382;185538.053;90;0.9999971389770508;0.3766564428806305;False;"EntryScorer; BaseModel"
605;90;-22445.1382;190988.053;270;1.0;0.3766559958457947;False;"EntryScorer; BaseModel"
606;90;-22445.1382;202148.383;90;0.999997615814209;0.37665531039237976;False;"EntryScorer; BaseModel"
607;90;-20521.1412;161399.8595;270;0.9999998807907104;0.5842656493186951;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
608;90;-20521.1412;169219.9593;90;0.9999933242797852;0.376677542924881;False;"EntryScorer; BaseModel"
609;90;-20521.1412;174669.9593;270;1.0;0.37665319442749023;False;"EntryScorer; BaseModel"
610;90;-20521.1412;185538.053;90;0.9999977350234985;0.3766544759273529;False;"EntryScorer; BaseModel"
611;90;-20521.1412;190988.053;270;1.0;0.3766532838344574;False;"EntryScorer; BaseModel"
612;90;-20521.1412;202148.383;90;0.9999980926513672;0.3766540288925171;False;"EntryScorer; BaseModel"
613;90;-20521.1412;207598.383;270;0.9999505281448364;0.5921770930290222;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
614;90;-18597.1443;161399.8595;270;0.9999997615814209;0.584264874458313;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
615;90;-18597.1443;169219.9593;90;0.9999947547912598;0.37666451930999756;False;"EntryScorer; BaseModel"
616;90;-18597.1443;174669.9593;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
617;90;-18597.1443;185538.053;90;0.9999979734420776;0.3766537606716156;False;"EntryScorer; BaseModel"
618;90;-18597.1443;190988.053;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
619;90;-18597.1443;202148.383;90;0.9999983310699463;0.3766535520553589;False;"EntryScorer; BaseModel"
620;90;-18597.1443;207598.383;270;0.9999395608901978;0.3434666097164154;False;"EntryScorer; BaseModel"
621;90;-30141.126;169219.9593;90;0.9999275207519531;0.42023295164108276;False;"EntryScorer; BaseModel"
622;90;-30141.126;185538.053;90;0.999924898147583;0.8424521684646606;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
623;90;-30141.126;202148.383;90;0.999924898147583;0.8424521684646606;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
624;90;-30141.126;221621.6986;90;0.9999034404754639;0.33517375588417053;False;"EntryScorer; BaseModel"
625;90;-30141.126;239404.4438;90;0.9999034404754639;0.7823814749717712;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
626;90;-30141.126;251150.4316;90;0.49510088562965393;0.9909781217575073;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
627;90;-74393.0559;161399.8595;270;0.9999963045120239;0.5842728018760681;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
628;90;-74393.0559;169219.9593;90;0.9999097585678101;0.3766832649707794;False;"EntryScorer; BaseModel"
629;90;-74393.0559;174669.9593;270;0.9999995231628418;0.3766542971134186;False;"EntryScorer; BaseModel"
630;90;-74393.0559;185538.053;90;0.999958872795105;0.376652330160141;False;"EntryScorer; BaseModel"
631;90;-74393.0559;190988.053;270;0.9999996423721313;0.37665456533432007;False;"EntryScorer; BaseModel"
632;90;-74393.0559;202148.383;90;0.9999648332595825;0.3766518831253052;False;"EntryScorer; BaseModel"
633;90;-74393.0559;207598.383;270;0.9993672966957092;0.3351399600505829;False;"EntryScorer; BaseModel"
634;90;-74393.0559;221621.6986;90;0.998158872127533;0.335080623626709;False;"EntryScorer; BaseModel"
635;90;-74393.0559;227071.6986;270;0.9999998807907104;0.37665295600891113;False;"EntryScorer; BaseModel"
636;90;-74393.0559;239404.4438;90;0.999971866607666;0.3766520023345947;False;"EntryScorer; BaseModel"
637;90;-74393.0559;244854.4438;270;0.9745834469795227;0.9557306170463562;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
638;90;-74393.0559;251150.4316;90;0.7711370587348938;0.9911342859268188;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
